,Discovery_Method,Discovery_Year,Solution_type,Planet_Orbital_Period_[day],Planet_Orbital_SemiMajorAxis_[day],Planet_Radius_[Earth_radius],Planet_Mass_[Earth_mass],Planet_Mass_Provenance,Planet_Eccentricity,Planet_Eq_Temperature_[K],Stellar_Effective_Temperature_[K],Stellar_Radius_[Solar_radius],Stellar_Mass_[Solar_mass],Stellar_Metallicity_[dex],Stellar_Metallicity_Radio,Stellar_Surface_Gravity_[log10(cm/s**2)],Number_Stars,Number_Planets,System_Distance_[pc],System_V_Magnitude,System_Ks_Magnitude,System_Gaia_Magnitude
2044,Transit,2021,Published Confirmed,9.961881,0.0783,2.207,3.86,Mass,,600.0,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,1,6,62.699,11.955,8.656,11.1523
2045,Transit,2021,Published Confirmed,15.231915,0.1039,2.287,7.72,Mass,,521.0,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,1,6,62.699,11.955,8.656,11.1523
2046,Transit,2021,Published Confirmed,20.7095,0.1275,2.87,3.94,Mass,,470.0,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,1,6,62.699,11.955,8.656,11.1523
2047,Transit,2021,Published Confirmed,3.208664,0.04882,16.141,222.47988,Mass,,1927.0,5991.0,2.17,1.51,0.373,[Fe/H],3.94,1,1,229.067,9.721,8.345,9.58439
2048,Transit,2021,Published Confirmed,9.5739,0.1001,11.657,68.01528,Mass,,,6230.0,2.02,1.46,0.22,[M/H],4.1,1,1,223.465,9.815,8.446,9.65981
2049,Transit,2020,Published Confirmed,29.02,0.1587,12.89,209.7678,Mass,0.118,362.0,3841.0,0.61,0.63,0.31,[Fe/H],4.67,1,1,128.438,14.88,10.509,13.5553
2050,Transit,2021,Published Confirmed,52.97818,0.3,11.299,133.4886,Mass,0.28,759.0,6394.0,1.32,1.32,0.24,[Fe/H],4.32,1,1,113.825,9.07,7.846,8.94004
2051,Transit,2021,Published Confirmed,0.67247414,0.01791,15.098,1595.4986,Mass,,3646.0,6540.0,1.7,1.45,0.068,[Fe/H],4.14,1,1,262.041,10.217,9.07,10.1138
2052,Transit,2019,Published Confirmed,34.556,0.2069,11.29,200.0,Mass,0.029,497.0,5026.0,0.84,0.87,0.32,[M/H],4.66,1,2,177.945,12.324,10.218,12.1631
2053,Transit,2019,Published Confirmed,17.089,0.1293,7.69,30.0,Mass,0.132,628.0,5026.0,0.84,0.87,0.32,[M/H],4.66,1,2,177.945,12.324,10.218,12.1631
2054,Transit,2022,Published Confirmed,260.79,0.828,11.321,875.61726,Mass,0.3683,348.0,5695.0,1.64,1.11,0.253,[Fe/H],4.06,1,1,116.685,9.162,7.604,9.01133
2055,Transit,2022,Published Confirmed,6.90683,,11.4,206.58846,Mass,0.08,,5966.0,2.9,1.53,0.14,[Fe/H],3.7,1,1,788.317,12.254,10.41,11.8482
2056,Transit,2021,Published Confirmed,10.695264,0.08911,3.03,13.8,Mass,0.032,805.0,5298.0,0.86,0.82,-0.217,[Fe/H],4.37,1,1,90.7402,10.466,8.542,10.1897
2057,Transit,2021,Published Confirmed,11.9101,0.09564,11.321,310.83618,Mass,0.042,,5144.0,0.79,0.82,0.04,[Fe/H],4.55,1,2,235.933,13.004,10.8,12.7606
2058,Transit Timing Variations,2021,Published Confirmed,24.6744,0.15544,,117.27868,Mass,0.0622,,5144.0,0.79,0.82,0.04,[Fe/H],4.55,1,2,235.933,13.004,10.8,12.7606
2059,Transit,2021,Published Confirmed,27.26955,0.1363,1.74,19.5,Mass,0.3,284.0,3491.0,0.46,0.45,-0.05,[Fe/H],,1,1,42.409,13.403,9.034,12.4314
2060,Transit,2022,Published Confirmed,2.99432,,10.088,508.52545,Mass,0.019,,4780.0,3.22,1.32,0.39,[Fe/H],3.5,1,1,536.046,12.524,9.678001,11.8752
2061,Transit,2021,Published Confirmed,4.93777,0.05741,2.74,317.83,Mass,0.0,,5875.0,0.88,1.04,-0.106,[Fe/H],4.56,1,1,99.523,9.887,8.426,9.75411
2062,Transit,2021,Published Confirmed,18.38818,0.1528,7.163,43.86032,Mass,0.0,1027.0,6095.0,1.87,1.41,0.175,[Fe/H],4.04,1,1,76.9028,7.57,6.256,7.41653
2063,Transit,2022,Published Confirmed,6.2034,,19.728,193.87533,Mass,0.09,,4800.0,4.1,1.19,0.1,[Fe/H],3.29,1,1,393.443,10.916,8.492,10.6019
2064,Transit,2021,Published Confirmed,3.6977104,0.0345,2.77,8.8,Mass,0.425,531.0,3514.0,0.4,0.39,-0.29,[Fe/H],4.83,1,1,57.0225,14.37,10.1,13.4258
2065,Transit,2019,Published Confirmed,3.3601538,0.03197,1.206,1.58,Mass,0.034,581.0,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,1,3,22.4793,12.603,8.251,11.6306
2066,Transit,2019,Published Confirmed,5.6605731,0.04526,2.355,6.15,Mass,0.027,488.0,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,1,3,22.4793,12.603,8.251,11.6306
2067,Transit,2019,Published Confirmed,11.379573,0.0721,2.133,4.78,Mass,0.032,387.0,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,1,3,22.4793,12.603,8.251,11.6306
2068,Transit,2021,Published Confirmed,18.09547,0.153,12.801,1598.35906,Mass,0.815,,6532.0,1.83,1.45,0.017,[M/H],4.07,1,1,366.987,10.86,9.693,10.7051
2069,Transit,2020,Published Confirmed,5.19672,0.056,2.68,7.17,Mass,0.163,981.0,5325.0,0.87,0.85,-0.02,[Fe/H],4.49,2,2,74.7969,9.931,8.071,9.77776
2070,Transit,2020,Published Confirmed,16.06819,0.1189,5.09,16.42,Mass,0.152,674.0,5325.0,0.87,0.85,-0.02,[Fe/H],4.49,2,2,74.7969,9.931,8.071,9.77776
2071,Transit,2021,Published Confirmed,0.490047,0.0113,1.28,3.07,Mass,0.0,1862.0,4850.0,0.73,0.78,0.2,[Fe/H],4.6,1,3,32.5686,9.12,6.723,8.79171
2072,Transit,2021,Published Confirmed,12.46103,0.098,3.29,9.9,Mass,0.0,633.0,4850.0,0.73,0.78,0.2,[Fe/H],4.6,1,3,32.5686,9.12,6.723,8.79171
2073,Transit,2022,Published Confirmed,2.9223,,16.813,143.02278,Mass,0.068,,6000.0,2.31,1.54,0.29,[Fe/H],3.9,1,1,717.128,12.724,10.63,12.4747
2074,Transit,2020,Published Confirmed,10.33111,0.097,11.097,486.2799,Mass,0.153,1370.0,5735.0,1.66,1.14,0.26,[Fe/H],4.06,1,1,179.366,9.972,8.443,9.84659
2075,Transit,2021,Published Confirmed,1.2652328,0.012,11.994,4449.62,Mass,,760.0,3350.0,0.37,0.37,,,,1,1,115.557,17.35,11.951,15.7067
2076,Transit,2021,Published Confirmed,6.387597,0.052,9.303,127.13136,Mass,0.0,565.0,3659.0,0.54,0.53,0.376,[Fe/H],4.7,1,1,148.762,15.403,11.238,14.6439
2077,Transit,2021,Published Confirmed,2.3266508,0.0296,5.82,61.5,Mass,0.0,867.0,3927.0,0.61,0.64,0.338,[Fe/H],4.67,1,1,135.047,14.413,10.587,13.6645
2078,Transit,2021,Published Confirmed,14.574071,0.1291,12.173,1147.36055,Mass,0.298,1061.0,6466.0,1.5,1.35,-0.004,[Fe/H],4.22,1,1,402.63,11.233,10.262,11.3253
2079,Transit,2021,Published Confirmed,6.9839095,0.0723,12.229,1910.14873,Mass,0.151,1180.0,5925.0,1.23,1.03,-0.069,[Fe/H],4.27,1,1,233.266,11.091,9.638,10.9777
2080,Transit,2020,Published Confirmed,0.446573,0.01064,1.45,3.2,Mass,0.0,2480.0,5326.0,0.83,0.81,-0.41,[Fe/H],4.5,1,5,85.799,10.252,8.394,10.0128
2081,Transit,2020,Published Confirmed,0.446578,0.01055,1.423,1.59,Mass,0.0,,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,1,5,85.799,10.252,8.394,10.0128
2082,Transit,2020,Published Confirmed,10.77892,0.0888,2.9,7.0,Mass,0.0,860.0,5326.0,0.83,0.81,-0.41,[Fe/H],4.5,1,5,85.799,10.252,8.394,10.0128
2083,Transit,2020,Published Confirmed,10.779,0.08809,2.878,5.4,Mass,0.06,,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,1,5,85.799,10.252,8.394,10.0128
2084,Transit,2020,Published Confirmed,25.62,0.1569,2.53,11.95,Mass,0.051,,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,1,5,85.799,10.252,8.394,10.0128
2085,Transit,2020,Published Confirmed,77.23,0.3274,2.67,16.0,Mass,0.061,,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,1,5,85.799,10.252,8.394,10.0128
2086,Transit,2020,Published Confirmed,16.287,0.1174,2.32,3.0,Mass,0.0,750.0,5326.0,0.83,0.81,-0.41,[Fe/H],4.5,1,5,85.799,10.252,8.394,10.0128
2087,Transit,2020,Published Confirmed,1.651144,0.02734,11.433,464.98529,Mass,0.072,1714.0,5640.0,1.09,1.0,0.143,[Fe/H],4.36,1,1,199.581,11.097,9.604,11.1424
2088,Transit,2021,Published Confirmed,3.4095675,0.0486,11.882,2011.8639,Mass,0.072,1586.0,6250.0,1.34,1.31,0.258,[Fe/H],4.3,1,1,178.68,10.112,8.811,10.0579
2089,Transit,2021,Published Confirmed,5.0037775,0.06608,19.851,279.6904,Mass,0.05,1749.0,6460.0,2.08,1.54,0.072,[Fe/H],3.99,1,1,341.997,10.51,9.243,10.4006
2090,Transit,2021,Published Confirmed,1.977143,0.025,5.25,23.6,Mass,0.0,635.0,3514.0,0.42,0.42,0.17,[Fe/H],4.81,1,1,46.0851,14.203,9.469,13.0914
2091,Transit,2020,Published Confirmed,11.2366,0.1038,13.115,392.83788,Mass,0.435,1252.0,6295.0,1.28,1.18,0.0,[Fe/H],4.29,1,1,141.812,9.822,8.429,9.66082
2092,Transit,2020,Published Confirmed,5.6057,0.06,2.28,9.79,Mass,0.04,1038.0,5450.0,0.9,0.92,0.01,[Fe/H],4.45,1,2,95.1274,10.265,8.49,9.99915
2093,Transit,2020,Published Confirmed,12.2737,0.1011,2.63,9.32,Mass,0.04,800.0,5450.0,0.9,0.92,0.01,[Fe/H],4.45,1,2,95.1274,10.265,8.49,9.99915
2094,Transit,2020,Published Confirmed,8.24661,0.0652,1.85,4.0,Mass,0.06,514.0,3709.0,0.54,0.54,-0.2,[Fe/H],4.73,1,2,27.1701,11.536,7.615,10.7409
2095,Transit,2020,Published Confirmed,15.6653,0.1,2.02,5.3,Mass,0.04,415.0,3709.0,0.54,0.54,-0.2,[Fe/H],4.73,1,2,27.1701,11.536,7.615,10.7409
2096,Transit,2020,Published Confirmed,1.392978,0.02177,2.926,18.467,Mass,,1253.0,4600.0,0.69,0.71,-0.092,[Fe/H],4.61,1,1,63.9262,11.314,8.432,10.7616
2097,Transit,2020,Published Confirmed,0.76552414,0.01598,3.444,39.09,Mass,0.0,,5373.8,0.92,0.93,0.19,[Fe/H],4.48,1,1,225.734,11.981,10.418,12.0645
2098,Transit,2020,Published Confirmed,10.62656,0.092,11.994,301.9385,Mass,0.125,1397.0,6261.0,1.39,1.28,0.24,[Fe/H],4.26,1,1,340.543,11.43,10.106,11.3435
2099,Transit,2020,Published Confirmed,3.739494,0.04666,13.126,211.99261,Mass,0.024,1192.0,5570.0,0.92,0.97,0.14,[Fe/H],4.5,1,1,158.649,11.08,9.448,11.0813
2100,Transit,2020,Published Confirmed,4.32419,0.04796,4.81,826.358,Mass,0.0,,4928.0,1.02,0.79,-0.221,[Fe/H],4.31,3,2,152.601,11.982,9.639,11.6346
2101,Transit,2020,Published Confirmed,4.3263,0.0498,4.242,16.0,Mass,0.285,,4969.0,0.89,0.88,0.0,[Fe/H],,3,2,152.601,11.982,9.639,11.6346
2102,Transit,2020,Published Confirmed,10.1605,0.088,4.793,37.0,Mass,0.175,,4969.0,0.89,0.88,0.0,[Fe/H],,3,2,152.601,11.982,9.639,11.6346
2103,Transit,2020,Published Confirmed,10.15643,0.0847,5.79,794.575,Mass,0.0,,4928.0,1.02,0.79,-0.221,[Fe/H],4.31,3,2,152.601,11.982,9.639,11.6346
2104,Transit,2020,Published Confirmed,3.6849729,0.04963,9.55,55.30242,Mass,0.14,1526.0,5710.0,1.89,1.2,0.215,[Fe/H],3.96,1,1,238.768,10.343,8.779,10.2321
2105,Transit,2016,Published Confirmed,,0.011548,1.121,1.017,Mass,0.00622,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2106,Transit,2016,Published Confirmed,1.51087081,0.01111,1.086,0.85,Mass,0.081,400.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2107,Transit,2016,Published Confirmed,1.510826,0.01154,1.116,1.374,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2108,Transit,2016,Published Confirmed,,0.015815,1.095,1.156,Mass,0.00654,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2109,Transit,2016,Published Confirmed,2.4218233,0.01521,1.056,1.38,Mass,0.083,342.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2110,Transit,2016,Published Confirmed,2.421937,0.0158,1.097,1.308,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2111,Transit,2016,Published Confirmed,4.04961,0.02144,0.772,0.41,Mass,0.07,288.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2112,Transit,2016,Published Confirmed,,0.02228,0.784,0.297,Mass,0.00837,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2113,Transit,2016,Published Confirmed,4.049219,0.02227,0.788,0.388,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2114,Transit,2017,Published Confirmed,,0.029283,0.91,0.772,Mass,0.0051,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2115,Transit,2017,Published Confirmed,6.101013,0.02925,0.92,0.692,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2116,Transit,2017,Published Confirmed,6.099615,0.02817,0.918,0.62,Mass,0.085,251.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2117,Transit,2017,Published Confirmed,,0.038534,1.046,0.934,Mass,0.01007,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2118,Transit,2017,Published Confirmed,9.20754,0.03849,1.045,1.039,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2119,Transit,2017,Published Confirmed,9.20669,0.0371,1.045,0.68,Mass,0.063,219.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2120,Transit,2017,Published Confirmed,,0.046877,1.148,1.148,Mass,0.00208,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2121,Transit,2017,Published Confirmed,12.35294,0.0451,1.127,1.34,Mass,0.061,199.0,2559.0,0.12,0.08,0.04,[Fe/H],,1,7,,17.02,10.296,15.6451
2122,Transit,2017,Published Confirmed,12.352446,0.04683,1.129,1.321,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2123,Transit,2017,Published Confirmed,18.772866,0.06189,0.755,0.326,Mass,,,2566.0,0.12,0.09,,,5.24,1,7,,17.02,10.296,15.6451
2124,Transit,2017,Published Confirmed,,0.061935,0.773,0.331,Mass,0.00567,,,,0.09,,,,1,7,,17.02,10.296,15.6451
2125,Imaging,2020,Published Confirmed,,162.0,,4449.62,Mass,,,4573.0,,1.0,,,,1,2,94.6177,11.124,8.392,10.6505
2126,Imaging,2020,Published Confirmed,,320.0,12.33,1906.98,Mass,,1240.0,,,1.0,,,,1,2,94.6177,11.124,8.392,10.6505
2127,Transit,2004,Published Confirmed,3.030065,0.03925,11.96,238.998,Mass,,1140.0,5230.0,0.81,0.88,0.02,[Fe/H],4.57,2,1,159.658,11.424,9.819,11.5565
2128,Transit,2004,Published Confirmed,3.03007,,12.666,266.9772,Mass,0.0,,5230.0,0.85,1.04,0.02,[Fe/H],4.57,2,1,159.658,11.424,9.819,11.5565
2129,Transit,2004,Published Confirmed,3.03006973,0.03926,11.96,221.52751,Mass,0.012,,5230.0,0.81,0.88,0.02,,,2,1,159.658,11.424,9.819,11.5565
2130,Transit,2004,Published Confirmed,3.030065,0.0393,12.11,238.36,Mass,,,5250.0,0.85,0.88,,,4.5,2,1,159.658,11.424,9.819,11.5565
2131,Transit,2004,Published Confirmed,3.0300728,0.03946,12.319,241.86863,Mass,,1147.0,5226.0,0.82,0.89,0.06,[Fe/H],4.56,2,1,159.658,11.424,9.819,11.5565
2132,Transit,2006,Published Confirmed,2.47063,0.03558,13.72,381.396,Mass,,1498.0,5850.0,1.0,0.98,,,,2,1,215.32,11.254,9.846,11.2819
2133,Transit,2006,Published Confirmed,2.4706132,0.03503,13.025,457.6752,Mass,,,5850.0,0.95,0.94,-0.15,[Fe/H],4.45,2,1,215.32,11.254,9.846,11.2819
2134,Transit,2006,Published Confirmed,2.47061317,0.0367,13.978,380.44251,Mass,,1470.0,5850.0,1.0,0.98,-0.15,[Fe/H],4.43,2,1,215.32,11.254,9.846,11.2819
2135,Transit,2006,Published Confirmed,,,,367.72931,Mass,0.0036,,,,0.94,-0.01,[Fe/H],,2,1,215.32,11.254,9.846,11.2819
2136,Transit,2006,Published Confirmed,2.47063,,15.244,473.5667,Mass,0.0,,5850.0,1.12,1.36,-0.15,[Fe/H],4.43,2,1,215.32,11.254,9.846,11.2819
2137,Transit,2006,Published Confirmed,2.47061437,,13.776,398.24099,Mass,0.0,1466.0,5795.0,1.0,1.05,0.06,[Fe/H],4.46,2,1,215.32,11.254,9.846,11.2819
2138,Transit,2006,Published Confirmed,,,13.675,380.76034,Mass,,,5850.0,1.0,0.98,-0.15,[Fe/H],4.43,2,1,215.32,11.254,9.846,11.2819
2139,Transit,2006,Published Confirmed,2.470621,,13.675,380.76034,Mass,0.0,,,1.0,0.98,,,,2,1,215.32,11.254,9.846,11.2819
2140,Transit,2006,Published Confirmed,2.47063,0.0367,13.899,406.8224,Mass,,,5960.0,1.0,1.08,,,4.4,2,1,215.32,11.254,9.846,11.2819
2141,Transit,2006,Published Confirmed,2.47061344,,13.103,380.744,Mass,0.0,,,0.94,0.98,,,,2,1,215.32,11.254,9.846,11.2819
2142,Transit,2006,Published Confirmed,2.47063,0.03556,14.258,381.1,Mass,0.0,,5854.0,1.02,1.06,-0.03,[M/H],4.45,2,1,215.32,11.254,9.846,11.2819
2143,Transit,2006,Published Confirmed,2.47061892,0.03563,13.305,382.03166,Mass,0.018,,5850.0,0.95,0.99,-0.15,[Fe/H],4.4,2,1,215.32,11.254,9.846,11.2819
2144,Transit,2006,Published Confirmed,2.47061337,0.03557,13.72,385.20996,Mass,0.0028,,5850.0,1.0,0.98,0.15,,,2,1,215.32,11.254,9.846,11.2819
2145,Transit,2006,Published Confirmed,2.470621,,13.697,380.76034,Mass,,,5850.0,1.0,0.98,,,,2,1,215.32,11.254,9.846,11.2819
2146,Transit,2006,Published Confirmed,2.47061323,0.03567,13.372,383.30298,Mass,,1466.0,5850.0,0.96,0.99,-0.15,[Fe/H],4.47,2,1,215.32,11.254,9.846,11.2819
2147,Transit,2006,Published Confirmed,2.4706101,0.03635,14.135,398.24099,Mass,,1467.0,5795.0,1.0,1.05,0.06,[Fe/H],4.46,2,1,215.32,11.254,9.846,11.2819
2148,Transit,2006,Published Confirmed,2.4706132,0.0367,13.955,457.6752,Mass,0.0002,1472.0,5850.0,,,-0.15,[Fe/H],4.43,2,1,215.32,11.254,9.846,11.2819
2149,Transit,2007,Published Confirmed,1.30618648,0.02284,14.975,572.41183,Mass,0.043,,5650.0,0.83,0.93,0.19,,,1,1,231.337,12.362,10.608,12.1995
2150,Transit,2007,Published Confirmed,,,,513.29545,Mass,0.17,,,,0.93,-0.2,[Fe/H],,1,1,231.337,12.362,10.608,12.1995
2151,Transit,2007,Published Confirmed,1.30618608,,14.796,607.03,Mass,0.0,,,0.82,0.93,,,,1,1,231.337,12.362,10.608,12.1995
2152,Transit,2007,Published Confirmed,1.3061864,0.02283,14.628,607.0553,Mass,,1630.0,5650.0,0.82,0.93,-0.19,[Fe/H],4.58,1,1,231.337,12.362,10.608,12.1995
2153,Transit,2007,Published Confirmed,1.306187,0.02276,14.684,603.55917,Mass,,1638.0,5650.0,0.82,0.92,-0.19,[Fe/H],4.57,1,1,231.337,12.362,10.608,12.1995
2154,Transit,2007,Published Confirmed,1.30619,0.0226,14.516,610.2336,Mass,,,5720.0,0.8,0.9,,,4.6,1,1,231.337,12.362,10.608,12.1995
2155,Transit,2007,Published Confirmed,1.30618581,0.02282,14.975,607.03,Mass,0.0,,5650.0,0.83,0.93,,,,1,1,231.337,12.362,10.608,12.1995
2156,Transit,2007,Published Confirmed,1.30619,0.02272,14.706,615.95454,Mass,,1623.0,5650.0,0.81,0.92,-0.19,[Fe/H],4.58,1,1,231.337,12.362,10.608,12.1995
2157,Transit,2007,Published Confirmed,3.553945,0.05091,20.165,292.073,Mass,0.0,,6184.0,2.01,1.18,0.26,[M/H],3.9,2,1,515.98,11.932,10.33,11.4731
2158,Transit,2007,Published Confirmed,3.55392771,0.0516,20.602,157.00802,Mass,0.016,1795.0,6295.0,1.81,1.45,0.28,[Fe/H],4.09,2,1,515.98,11.932,10.33,11.4731
2159,Transit,2007,Published Confirmed,3.55392771,0.05159,20.602,158.27934,Mass,0.015,,6295.0,1.81,1.45,0.28,,,2,1,515.98,11.932,10.33,11.4731
2160,Transit,2007,Published Confirmed,,,,267.93069,Mass,0.015,,,,1.34,0.14,[Fe/H],,2,1,515.98,11.932,10.33,11.4731
2161,Transit,2007,Published Confirmed,3.553945,0.04965,20.288,278.73691,Mass,,1861.0,6200.0,1.92,1.29,0.14,[Fe/H],3.98,2,1,515.98,11.932,10.33,11.4731
2162,Transit,2007,Published Confirmed,3.553945,0.05092,19.627,292.4036,Mass,,1785.0,6200.0,1.82,1.39,0.14,[Fe/H],4.06,2,1,515.98,11.932,10.33,11.4731
2163,Transit,2007,Published Confirmed,3.5539268,0.0502,19.448,285.09351,Mass,,1805.0,6200.0,1.83,1.34,0.14,[Fe/H],4.04,2,1,515.98,11.932,10.33,11.4731
2164,Transit,2007,Published Confirmed,3.5539246,0.05084,19.123,291.45011,Mass,0.0,1778.0,6200.0,,,0.14,[Fe/H],4.06,2,1,515.98,11.932,10.33,11.4731
2165,Transit,2007,Published Confirmed,3.55395,,18.046,247.9074,Mass,0.0,,6200.0,1.66,1.08,0.14,[Fe/H],4.06,2,1,515.98,11.932,10.33,11.4731
2166,Transit,2011,Published Confirmed,1.4822446,0.02452,13.552,568.9157,Mass,0.03,,5171.0,0.87,0.89,0.2,,,1,1,360.313,13.677,11.591,13.4599
2167,Transit,2011,Published Confirmed,1.48224754,0.0245,13.484,573.36532,Mass,,,,0.85,,,,4.53,1,1,360.313,13.677,11.591,13.4599
2168,Transit,2011,Published Confirmed,1.4822446,0.02446,13.552,565.078,Mass,0.0,,5171.0,0.87,0.89,,,,1,1,360.313,13.677,11.591,13.4599
2169,Transit,2011,Published Confirmed,1.48224686,0.02459,13.384,568.9157,Mass,,1480.0,5171.0,0.87,0.9,0.2,[Fe/H],4.52,1,1,360.313,13.677,11.591,13.4599
2170,Microlensing,2018,Published Confirmed,,4.18,,407.0,Mass,,,,,0.81,,,,1,1,6300.0,,17.7,
2171,Imaging,2008,Published Confirmed,,670.0,,4449.62,Mass,,,2700.0,,0.06,,,,1,1,144.019,,12.507,17.4229
2172,Imaging,2019,Published Confirmed,,3500.0,,4767.45,Mass,,2240.0,3410.0,,0.33,,,,1,1,140.635,15.36,10.441,14.3099
2173,Imaging,2019,Published Confirmed,,2880.0,,5085.28,Mass,,2270.0,3460.0,,0.36,,,,1,1,137.901,15.543,10.193,14.1769
2174,Eclipse Timing Variations,2011,Published Confirmed,5840.0,5.9,,2002.2,Mass,0.04,,,,0.7,,,,2,2,,16.7753,14.776,16.6937
2175,Eclipse Timing Variations,2011,Published Confirmed,1916.25,2.8,,2447.2,Mass,0.05,,,,0.7,,,,2,2,,16.7753,14.776,16.6937
2176,Radial Velocity,2016,Published Confirmed,4.93,0.057,,244.7291,Mass,0.0,,4250.0,2.0,1.0,,,,1,1,130.111,12.23,8.422,11.6928
2177,Radial Velocity,2016,Published Confirmed,4.927,0.057,,222.481,Mass,,,4250.0,2.0,1.0,,,,1,1,130.111,12.23,8.422,11.6928
2178,Imaging,2015,Published Confirmed,,,,13603.124,Mass,,,,,0.06,,,,2,1,,17.73,10.044,
2179,Imaging,2015,Published Confirmed,,,,13762.039,Mass,,,,,0.06,,,,2,1,,17.73,10.044,
2180,Imaging,2015,Published Confirmed,,102.0,,3559.696,Mass,,,2620.0,,0.07,,,5.05,2,1,,17.73,10.044,
2181,Transit,2007,Published Confirmed,2.5199464,0.0392,16.735,311.4734,Mass,,1830.0,6213.0,1.47,1.26,0.17,[Fe/H],4.21,2,1,393.072,11.308,10.276,11.5349
2182,Transit,2007,Published Confirmed,2.519961,0.03898,16.634,273.3338,Mass,,1800.0,6110.0,1.46,1.24,0.23,[Fe/H],4.21,2,1,393.072,11.308,10.276,11.5349
2183,Transit,2007,Published Confirmed,2.5199448,0.03958,16.97,301.30284,Mass,0.013,,6110.0,1.52,1.3,0.26,,,2,1,393.072,11.308,10.276,11.5349
2184,Transit,2007,Published Confirmed,2.51994529,0.03889,16.242,268.88418,Mass,0.0,1812.0,6110.0,,,0.26,[Fe/H],4.19,2,1,393.072,11.308,10.276,11.5349
2185,Transit,2007,Published Confirmed,2.519961,0.03957,16.97,291.76794,Mass,,1811.0,,1.52,1.3,,,,2,1,393.072,11.308,10.276,11.5349
2186,Transit,2007,Published Confirmed,2.5199449,,16.97,292.0,Mass,0.0,,6110.0,,,,,,2,1,393.072,11.308,10.276,11.5349
2187,Transit,2007,Published Confirmed,2.5199454,0.03889,16.623,271.415,Mass,0.0,,,1.47,1.24,,,,2,1,393.072,11.308,10.276,11.5349
2188,Transit,2007,Published Confirmed,,,,251.0857,Mass,0.0082,,,,1.27,0.14,[Fe/H],,2,1,393.072,11.308,10.276,11.5349
2189,Transit,2007,Published Confirmed,2.51995,0.0382,21.633,282.8687,Mass,0.0,,6200.0,1.24,1.15,0.1,[Fe/H],4.3,2,1,393.072,11.308,10.276,11.5349
2190,Transit,2008,Published Confirmed,3.0927616,0.0378,11.96,1004.3428,Mass,,972.0,4675.0,0.7,0.75,0.03,[Fe/H],4.62,1,1,140.998,12.413,9.983,12.1739
2191,Transit,2008,Published Confirmed,3.1,0.038,12.3,1017.0,Mass,0.0,950.0,4700.0,,,,,,1,1,140.998,12.413,9.983,12.1739
2192,Transit,2008,Published Confirmed,3.0927636,0.0369,14.348,940.7768,Mass,0.059,,4675.0,0.78,0.7,0.03,[M/H],4.4,1,1,140.998,12.413,9.983,12.1739
2193,Transit,2008,Published Confirmed,3.0927616,0.03781,12.106,1001.12,Mass,,1370.0,4675.0,0.7,0.75,,,,1,1,140.998,12.413,9.983,12.1739
2194,Transit,2008,Published Confirmed,,,,1071.0871,Mass,0.0473,,,,0.75,0.05,[Fe/H],,1,1,140.998,12.413,9.983,12.1739
2195,Transit,2008,Published Confirmed,3.09272932,0.0378,11.96,1020.2343,Mass,0.0601,,4680.0,0.7,0.75,0.03,,,1,1,140.998,12.413,9.983,12.1739
2196,Transit,2014,Published Confirmed,2.849375,,18.943,645.1949,Mass,0.0,,,2.0,1.57,,,,2,1,364.411,10.798,9.669,10.6151
2197,Transit,2014,Published Confirmed,2.849375,0.0457,18.94,645.17,Mass,0.0,2190.0,6900.0,,1.57,-0.03,[Fe/H],4.04,2,1,364.411,10.798,9.669,10.6151
